"","time","val"
"1",1950,68.63
"2",1950.08333333333,68.63
"3",1950.16666666667,68.63
"4",1950.25,68.63
"5",1950.33333333333,68.63
"6",1950.41666666667,68.63
"7",1950.5,59.16
"8",1950.58333333333,48.7
"9",1950.66666666667,47.54
"10",1950.75,50.91
"11",1950.83333333333,44.7
"12",1950.91666666667,42.85
"13",1951,39.62
"14",1951.08333333333,44.45
"15",1951.16666666667,38.98
"16",1951.25,42.62
"17",1951.33333333333,48.27
"18",1951.41666666667,59.39
"19",1951.5,51.66
"20",1951.58333333333,38.55
"21",1951.66666666667,60.33
"22",1951.75,72.27
"23",1951.83333333333,68.62
"24",1951.91666666667,69.63
"25",1952,72.2
"26",1952.08333333333,67.87
"27",1952.16666666667,64.91001
"28",1952.25,53.85
"29",1952.33333333333,37.96
"30",1952.41666666667,23.23
"31",1952.5,12.68
"32",1952.58333333333,9.84
"33",1952.66666666667,7.82
"34",1952.75,11.78
"35",1952.83333333333,10.22
"36",1952.91666666667,12.19
"37",1953,18.6
"38",1953.08333333333,26.97
"39",1953.16666666667,22.52
"40",1953.25,19.18
"41",1953.33333333333,17.14
"42",1953.41666666667,18.61
"43",1953.5,20.02
"44",1953.58333333333,22.65
"45",1953.66666666667,38.99
"46",1953.75,76.55
"47",1953.83333333333,87.99
"48",1953.91666666667,99.8
"49",1954,96.69
"50",1954.08333333333,87.45
"51",1954.16666666667,88.57
"52",1954.25,97.43
"53",1954.33333333333,99.99
"54",1954.41666666667,94.88
"55",1954.5,86.99
"56",1954.58333333333,79.73001
"57",1954.66666666667,92.35
"58",1954.75,91.29
"59",1954.83333333333,94.31
"60",1954.91666666667,84.95
"61",1955,82.97
"62",1955.08333333333,92.98001
"63",1955.16666666667,81.06
"64",1955.25,62.37
"65",1955.33333333333,52.99
"66",1955.41666666667,39.53
"67",1955.5,42.9
"68",1955.58333333333,33.76
"69",1955.66666666667,40.97
"70",1955.75,60.5
"71",1955.83333333333,66.61
"72",1955.91666666667,80.38
"73",1956,95.86
"74",1956.08333333333,97.74
"75",1956.16666666667,80.24
"76",1956.25,73.44
"77",1956.33333333333,65.67
"78",1956.41666666667,47.81
"79",1956.5,33.51
"80",1956.58333333333,34.22
"81",1956.66666666667,32.95
"82",1956.75,32.55
"83",1956.83333333333,46.92
"84",1956.91666666667,44.64
"85",1957,53.02
"86",1957.08333333333,41.98
"87",1957.16666666667,30.43
"88",1957.25,24.43
"89",1957.33333333333,18.05
